#Category	Name	Featured	ShortDescription	Size	Price	Description	Ingredients	recipe
Butter Scrubs	REALIGNED		Vetiver, Lotus and Lime Body scrub	Full Size	1,650	Lotus oil improves the skin texture by conditioning and nourishing it externally. It also neutralizes free radicals. Vetiver Oil promotes the growth of new skin. Its regenerative properties facilitate the healing of wounds as well as the disappearance of scars, stretch marks, and acne.	lotus and vetiver essential oils	lotus, vetiver, lime, cocoa butter, shea butter, coconut oil, olive oil, castor oil, sesame oil, salt
	AN AWAKENING	Y	Mandarin and Bergamot Body Scrub	Full Size	1,350	Made with an energizing blend of citrus oils, that awaken your senses and rejuvenate your skin. Exfoliate with Himalayan pink salt grains ,blended beautifully with citrus butters.	bergamot, mandarin, lemon , neroli	bergamot, lime, lemon, neroli, mandarin , petitgrain,  cocoa butter, shea butter, coconut oil, olive oil, castor oil, sesame oil, salt
	COCOA SCRUB		Chocolate Cinnamon Body Scrub	Full Size	1,250	Made with pure shea and cocoa butters, this scrub is a heavy-duty dose of moisture repair for your skin. It has the goodness of Mexican cocoa and Cinnamon to heal scars and dark spots.	mexican cocoa, cinnamon 	
	INVOKE		Ginger and Lime Body scrub	Full Size	1,350	This scrub contains ancient magic , it has dollops of Wild Turmeric, spiked with Ginger and sealed with Lime. Blended beautifully with various oils and a touch of butter.		
	LILY BLOOM		Lily and Myrrh with Poppy seeds- Body Scrub	Full Size	1,350	Lily and Geranium love teamwork. Together they create magic when massaged with Poppy seed onto dry dehydrated skin, to infuse some Oils that fade away scars and retain a fresh dose of moisture.		
	UNFOLD		Geranium and Patchouli Body scrub	Full Size	1,250	A buttery scrub made with Geranium essential oil which is reputed to effectively eliminate dead cells, tighten the skin, promote the regeneration of new skin, and diminish signs of aging. Blended beautifully with naturally occurring Hyaluronic acid ,hidden in Rose essential oil, this scrub is a floral bouquet for relieving stress		
	EVEN OUT		Lip scrub	Full Size	395	Made with citrus oils for mild depigmentation. A touch of tint for a rosy residue. Heaps of moisture to heal dry chapped lips.		
	OCTAVE		Pumpkin Vanilla Grapefruit Body Scrub	Full Size	1,150	Regularly scrubbing the skin leads to better blood circulation, delivering glowing skin. Soothing Vanilla paves way for better sleep by gently reducing anxiety. Pumpkin seed oil helps retain moisture while Grapefruit elevates the spirit.		
Oil Blends	A-FIRM-MOTIVE		Skin Firming Massage Oil	90 ml	850	Made with a blend of skin firming oils like orange blossom and Frankincense , this anti- inflammatory oil helps in restoring skin's natural balance.		
	LIQUID GOLD	Y	Anti-Aging Primer/ Day serum	Full Size	795	Liquid gold is literally liquid gold. It has gold particles so fine; it melts on the skin making it glow. It evens out pigmented skin, gives it a moisture dose, cools it down and treats it with anti inflammation. Avocado and Evening Primrose oils play the lead roles in this epoch.		
	POISE		Wild turmeric and Silver infused Facial Oil Blend	Full Size	1,150	Poise is made of precious herbs and metals. It combines the cooling essence of Vetiver with the healing touch of Frankincense. It evens out skin damaged by sun and wind.		
